Title,Company,Location
"Werkstudent*in IT & Digitalisierung bei Dr. Heinze & Partner PartG mbB, Hamburg",Dr. Heinze & Partner,20354 Hamburg
Werkstudent Controlling (m/w/d),IU Internationale Hochschule,Homeoffice in Hamburg
Werkstudent:in im IT Lab für Social Media,SV Informatik GmbH,Deutschland
Werkstudent Finance & Controlling - Sales Controlling (m/w/d),Tchibo GmbH,22297 Hamburg
Werkstudent Anwendungsentwicklung Virtual- & Augmented Reality (m/w/d),Philips,Homeoffice in Hamburg
Werkstudent:in Web-Entwicklung (m/w/d),Async Software,Hybrides Arbeiten in 20095 Hamburg
Werkstudent*in Data Analytics (m/w/d/x),pilot Hamburg GmbH und Co. KG,Hamburg
Werkstudent (m/w/d) im Bereich Controlling,Bureau Veritas,Hamburg
Werkstudent SEO (w/m/d),G+J Medien GmbH,20459 Hamburg
Werkstudent IT-Services (m/w/d),Gleiss Lutz,22587 Hamburg
Werkstudent Produktdatenarchitektur(w/m/d),Otto (GmbH & Co KG),Homeoffice in 22179 Hamburg
Praktikant / Werkstudent SAP Consulting (m/w/d),Deloitte Consulting GmbH,Hamburg
Werkstudent/in (m/w/d) im Bereich Consulting - Digitale Transformation,LISCHKE CONSULTING GmbH,20459 Hamburg
Werkstudent (m/w/d) Software-Test und Testautomation,ROHDE & SCHWARZ GmbH & Co. KG,Hamburg
"Werkstudent für Programmierung, Webanwendung (m/w/d)",PLEUGER Industries GmbH,22047 Hamburg
